hold_id,book_id,user_id,hold_placed_date,expiration_date
1,90,42,2024-04-27,2024-05-07
2,93,23,2024-04-27,2024-05-08
3,91,5,2024-04-27,2024-05-06
4,55,9,2024-04-27,2024-05-11
5,87,42,2024-04-27,2024-05-09
6,9,32,2024-04-27,2024-05-11
7,81,6,2024-04-27,2024-05-06
8,43,4,2024-04-27,2024-05-05
9,78,21,2024-04-27,2024-05-09
10,88,27,2024-04-27,2024-05-11
11,74,48,2024-04-27,2024-05-11
12,19,32,2024-04-27,2024-05-10
13,62,28,2024-04-27,2024-05-08
14,85,37,2024-04-27,2024-05-05
15,85,7,2024-04-27,2024-05-09
16,5,7,2024-04-27,2024-05-09
17,45,30,2024-04-27,2024-05-05
18,27,50,2024-04-27,2024-05-05
19,24,18,2024-04-27,2024-05-06
20,98,4,2024-04-27,2024-05-06
21,84,10,2024-04-27,2024-05-08
22,31,33,2024-04-27,2024-05-07
23,27,20,2024-04-27,2024-05-08
24,29,3,2024-04-27,2024-05-06
25,96,31,2024-04-27,2024-05-07
26,77,21,2024-04-27,2024-05-09
27,88,46,2024-04-27,2024-05-09
28,48,25,2024-04-27,2024-05-08
29,90,21,2024-04-27,2024-05-05
30,43,41,2024-04-27,2024-05-05
31,79,12,2024-04-27,2024-05-08
32,6,18,2024-04-27,2024-05-07
33,11,34,2024-04-27,2024-05-11
34,65,31,2024-04-27,2024-05-11
35,36,35,2024-04-27,2024-05-07
36,25,46,2024-04-27,2024-05-06
37,38,38,2024-04-27,2024-05-05
38,16,21,2024-04-27,2024-05-05
39,98,23,2024-04-27,2024-05-08
40,65,3,2024-04-27,2024-05-09
41,43,44,2024-04-27,2024-05-06
42,17,25,2024-04-27,2024-05-09
43,33,35,2024-04-27,2024-05-10
44,84,44,2024-04-27,2024-05-09
45,69,38,2024-04-27,2024-05-10
46,34,20,2024-04-27,2024-05-08
47,80,19,2024-04-27,2024-05-09
48,46,15,2024-04-27,2024-05-06
49,54,9,2024-04-27,2024-05-10
50,58,32,2024-04-27,2024-05-11
