loan_id,copy_id,user_id,loan_date,due_date,return_date
1,178,39,2024-01-16,2024-04-30,2024-05-10
2,6,37,2023-09-27,2024-05-04,2024-05-11
3,148,42,2023-10-19,2024-05-12,
4,300,41,2023-09-26,2024-05-05,2024-05-05
5,76,8,2023-11-09,2024-05-04,
6,299,29,2023-05-18,2024-04-29,
7,134,31,2024-03-25,2024-05-07,
8,153,18,2024-03-29,2024-05-06,
9,25,50,2023-05-04,2024-05-11,2024-05-11
10,279,33,2023-09-04,2024-05-08,2024-05-06
11,255,44,2023-08-30,2024-05-04,
12,28,18,2023-12-29,2024-05-05,
13,76,26,2023-11-01,2024-04-29,
14,177,24,2023-09-15,2024-05-06,2024-05-11
15,254,47,2024-01-20,2024-05-04,2024-04-30
16,270,26,2023-05-14,2024-04-30,
17,109,39,2023-09-17,2024-05-06,2024-05-09
18,188,41,2024-02-22,2024-04-29,2024-05-05
19,137,11,2024-03-30,2024-05-02,2024-05-02
20,76,13,2024-02-05,2024-05-05,2024-05-07
21,46,2,2024-01-16,2024-05-02,2024-05-09
22,83,17,2023-08-17,2024-05-11,2024-05-02
23,143,40,2024-01-04,2024-05-02,
24,166,1,2023-08-22,2024-05-08,2024-05-08
25,201,14,2024-04-19,2024-05-12,2024-05-04
26,5,22,2023-09-30,2024-05-05,2024-05-07
27,184,33,2023-12-12,2024-05-01,
28,297,33,2023-07-01,2024-05-08,2024-05-11
29,90,21,2023-04-28,2024-05-08,2024-05-04
30,233,47,2024-02-26,2024-05-04,2024-05-04
31,133,39,2023-10-19,2024-05-11,2024-05-09
32,232,26,2023-06-28,2024-05-11,
33,173,23,2023-12-04,2024-04-30,2024-05-10
34,194,1,2024-01-20,2024-05-07,2024-05-07
35,239,36,2024-02-08,2024-05-10,2024-05-11
36,76,10,2024-01-01,2024-04-29,
37,288,19,2023-07-31,2024-05-06,
38,1,46,2024-02-17,2024-05-06,2024-05-09
39,281,26,2023-12-19,2024-05-12,2024-05-03
40,7,1,2023-11-20,2024-05-07,
41,88,32,2023-09-14,2024-05-08,
42,92,46,2023-06-29,2024-05-06,2024-05-05
43,270,9,2023-06-29,2024-05-08,
44,258,50,2023-11-19,2024-05-08,2024-05-10
45,295,20,2024-03-04,2024-05-07,2024-05-08
46,180,50,2023-11-07,2024-05-07,2024-05-05
47,134,28,2024-01-11,2024-05-09,2024-05-10
48,264,23,2023-06-03,2024-05-10,2024-05-11
49,148,17,2023-12-12,2024-05-10,
50,25,6,2023-06-09,2024-05-04,
51,76,1,2024-04-03,2024-05-05,2024-05-03
52,107,13,2023-08-09,2024-04-30,
53,292,26,2024-03-13,2024-05-03,2024-05-10
54,92,42,2023-10-29,2024-05-01,2024-05-08
55,107,22,2024-04-25,2024-05-03,2024-04-30
56,287,40,2024-02-10,2024-05-10,
57,290,4,2023-09-10,2024-05-11,2024-05-09
58,190,22,2023-11-19,2024-04-29,2024-05-05
59,177,21,2023-07-08,2024-05-01,
60,126,34,2024-04-11,2024-05-09,
61,127,40,2023-06-11,2024-05-04,2024-05-06
62,107,44,2023-07-07,2024-05-03,
63,107,6,2024-02-06,2024-05-04,
64,95,17,2024-01-26,2024-05-02,2024-05-03
65,195,39,2024-03-10,2024-05-06,
66,257,31,2023-07-28,2024-05-07,
67,258,22,2023-11-01,2024-05-07,
68,242,33,2024-01-28,2024-04-29,
69,197,21,2023-09-16,2024-05-10,
70,207,11,2023-12-08,2024-05-05,
71,223,10,2024-01-05,2024-05-05,
72,92,30,2024-03-20,2024-05-02,2024-05-01
73,46,8,2023-09-11,2024-05-01,
74,293,45,2023-06-15,2024-05-05,
75,170,24,2023-08-09,2024-05-11,
76,189,7,2023-07-06,2024-05-12,2024-05-03
77,94,1,2023-09-05,2024-04-29,2024-05-03
78,83,45,2024-04-13,2024-05-06,
79,207,45,2023-11-23,2024-05-02,2024-05-10
80,254,1,2023-10-13,2024-05-03,
81,88,25,2024-03-18,2024-04-29,2024-05-09
82,264,20,2024-02-22,2024-05-02,2024-05-11
83,216,33,2023-09-27,2024-04-30,
84,161,3,2023-09-07,2024-05-05,2024-05-02
85,11,39,2023-12-29,2024-05-03,
86,56,33,2023-10-02,2024-05-09,2024-05-05
87,113,38,2023-09-18,2024-04-30,
88,170,42,2024-04-27,2024-05-05,
89,125,10,2023-09-01,2024-05-05,2024-05-03
90,207,20,2023-11-22,2024-05-04,
91,229,27,2023-11-09,2024-05-02,2024-05-04
92,38,25,2023-06-17,2024-05-11,2024-05-01
93,126,11,2023-12-06,2024-05-11,2024-05-07
94,102,32,2024-04-15,2024-04-30,
95,264,34,2024-03-29,2024-05-02,
96,244,46,2023-11-24,2024-05-12,
97,37,37,2023-09-15,2024-05-10,2024-05-02
98,187,26,2023-12-04,2024-05-09,
99,87,37,2023-07-06,2024-05-09,2024-05-06
100,88,41,2024-01-11,2024-05-07,
